,age,gender,occupation,genre,rate,user_id,movie_id
0,20,1,homemaker,18,4,334483,the+dark+knight+2008
1,20,0,executive/managerial,28,4,488344,maverick+1994
2,30,0,college/grad student,12,4,515678,the+lord+of+the+rings+the+two+towers+2002
3,20,0,homemaker,80,3,816149,to+kill+a+mockingbird+1962
4,40,1,academic/educator,28,3,768752,stripes+1981
5,20,1,artist,14,3,916898,daredevil+2003
6,20,1,artist,35,4,376296,ghost+world+2001
7,20,0,self-employed,10749,4,778555,never+been+kissed+1999
8,30,0,executive/managerial,12,3,894906,x-men+2000
9,30,0,scientist,99,4,689632,bowling+for+columbine+2002
10,20,1,self-employed,35,2,910284,dear+god+1996
11,30,0,academic/educator,18,2,343128,prt--porter+1994
12,30,0,college/grad student,28,1,336160,batman+forever+1995
13,20,0,executive/managerial,28,3,726821,crimson+tide+1995
14,30,0,executive/managerial,35,3,590258,four+weddings+and+a+funeral+1994
15,20,0,scientist,12,3,43940,mission+impossible+1996
16,30,0,sales/marketing,35,4,772420,i+now+pronounce+you+chuck++larry+2007
17,20,0,tradesman/craftsman,28,3,380547,twister+1996
18,20,0,college/grad student,35,4,246171,the+truth+about+cats++dogs+1996
19,20,0,scientist,35,5,8359,raising+arizona+1987
20,30,0,college/grad student,12,1,817885,mystery+men+1999
21,20,1,other or not specified,35,4,266340,manhattan+murder+mystery+1993
22,30,0,college/grad student,18,4,439824,the+age+of+innocence+1993
23,20,0,self-employed,28,3,688698,the+terminator+1984
24,20,0,sales/marketing,80,3,716991,witness+1985
25,20,1,unemployed,35,4,970101,women+on+the+verge+of+a+nervous+breakdown+1988
26,30,0,college/grad student,53,1,195534,heathers+1988
27,30,0,college/grad student,28,2,910654,men+in+black+1997
28,20,0,lawyer,27,3,723758,an+american+werewolf+in+london+1981
29,30,0,self-employed,878,4,922118,e.t.+the+extra-terrestrial+1982
30,20,0,college/grad student,18,4,943996,little+buddha+1993
31,10,0,K-12 student,18,3,795506,an+american+tail+1986
32,30,1,other or not specified,35,4,571241,problem+child+1990
33,20,0,scientist,28,4,908709,terminator+2+judgment+day+1991
34,30,0,executive/managerial,27,3,550950,insidious+2010
35,30,0,college/grad student,12,2,924949,james+and+the+giant+peach+1996
36,30,0,scientist,80,5,396949,fargo+1996
37,20,0,artist,35,5,641171,my+big+fat+greek+wedding+2002
38,20,0,sales/marketing,16,4,67246,the+little+mermaid+1989
39,30,0,executive/managerial,53,3,107765,dead+again+1991
40,30,0,college/grad student,28,4,895830,bad+boys+1995
41,20,0,college/grad student,28,4,719681,true+lies+1994
42,20,0,homemaker,35,3,876295,trading+places+1983
43,30,0,college/grad student,18,4,810560,one+flew+over+the+cuckoos+nest+1975
44,20,0,scientist,35,4,425359,home+alone+1990
45,20,0,scientist,18,4,617187,affliction+1997
46,20,1,executive/managerial,12,4,83487,the+african+queen+1951
47,30,1,homemaker,12,3,635585,dances+with+wolves+1990
48,20,1,clerical/admin,18,5,860796,the+wings+of+the+dove+1997
49,30,0,executive/managerial,18,3,412088,a+simple+plan+1998
50,20,0,sales/marketing,9648,5,198737,citizen+kane+1941
51,30,0,self-employed,18,4,394878,the+cement+garden+1993
52,30,0,academic/educator,18,5,343128,circle+of+friends+1995
53,30,0,sales/marketing,14,3,477156,dragonheart+1996
54,30,0,scientist,53,3,763849,u+turn+1997
55,30,1,sales/marketing,35,3,502034,chasing+amy+1997
56,20,0,executive/managerial,80,4,891193,natural+born+killers+1994
57,20,0,scientist,878,5,216237,blade+runner+1982
58,30,0,sales/marketing,80,4,449274,following+1998
59,40,1,academic/educator,12,4,768752,back+to+the+future+1985
60,20,0,college/grad student,28,5,352281,the+matrix+1999
61,30,0,sales/marketing,80,4,691300,the+silence+of+the+lambs+1991
62,20,0,college/grad student,12,4,929661,the+princess+bride+1987
63,20,0,sales/marketing,12,4,337752,a+bugs+life+1998
64,20,0,technician/engineer,28,3,341077,in+the+line+of+fire+1993
65,10,1,self-employed,35,3,568659,take+the+money+and+run+1969
66,30,0,homemaker,35,3,893918,party+girl+1995
67,20,0,scientist,18,4,484983,the+usual+suspects+1995
68,20,0,technician/engineer,18,5,675984,the+usual+suspects+1995
69,20,0,college/grad student,18,2,879204,mulholland+falls+1996
70,20,0,K-12 student,35,1,568393,a+christmas+story+1983
71,20,0,self-employed,12,4,837479,mission+impossible+1996
72,30,0,artist,35,2,818539,amlie+2001
73,20,0,executive/managerial,28,3,196241,die+hard+with+a+vengeance+1995
74,30,0,K-12 student,18,4,202095,a+tale+of+two+sisters+2003
75,50,0,executive/managerial,28,4,447095,the+dirty+dozen+1967
76,30,0,executive/managerial,28,5,396217,terminator+2+judgment+day+1991
77,20,0,sales/marketing,14,4,312464,being+john+malkovich+1999
78,20,1,sales/marketing,35,4,709540,sabrina+1995
79,20,0,other or not specified,35,5,964436,junior+1994
80,50,0,academic/educator,12,4,19016,monty+python+and+the+holy+grail+1975
81,20,0,self-employed,28,1,954154,under+siege+2+dark+territory+1995
82,30,0,executive/managerial,16,4,983228,toy+story+1995
83,20,0,K-12 student,16,3,267260,lilo++stitch+2002
84,30,0,scientist,12,4,613984,the+princess+bride+1987
85,30,0,executive/managerial,35,3,240597,101+dalmatians+1996
86,30,0,self-employed,12,3,545152,antz+1998
87,30,0,executive/managerial,878,3,241084,planet+of+the+apes+1968
88,20,0,executive/managerial,28,4,610413,tombstone+1993
89,20,1,executive/managerial,14,4,616789,being+john+malkovich+1999
90,30,0,executive/managerial,80,3,79597,ace+ventura+when+nature+calls+1995
91,20,0,college/grad student,80,3,649664,the+net+1995
92,20,0,college/grad student,18,5,991639,apollo+13+1995
93,30,0,sales/marketing,35,1,573764,the+creature+wasnt+nice+1983
94,30,1,self-employed,18,3,275814,the+hunchback+of+notre+dame+1996
95,30,0,self-employed,18,4,509691,the+shawshank+redemption+1994
96,40,1,homemaker,35,4,511982,something+to+talk+about+1995
97,30,1,self-employed,27,1,821382,scream+2+1997
98,20,0,executive/managerial,878,4,586551,2001+a+space+odyssey+1968
99,20,1,college/grad student,18,5,253069,the+remains+of+the+day+1993
100,30,0,college/grad student,878,3,289595,twelve+monkeys+1995
101,20,0,executive/managerial,35,2,236635,porkys+1981
102,30,0,self-employed,35,3,662240,addams+family+values+1993
103,30,0,self-employed,12,4,805677,the+fugitive+1993
104,20,0,college/grad student,878,3,906867,tron+1982
105,20,0,technician/engineer,35,5,36069,alan+partridge+alpha+papa+2013
106,30,0,sales/marketing,27,2,214185,phantasm+1979
107,20,0,other or not specified,28,3,769487,v+for+vendetta+2006
108,20,0,college/grad student,14,5,377883,ghost+1990
109,30,0,college/grad student,12,3,416693,the+fugitive+1993
110,50,0,scientist,35,4,9889,french+twist+1995
111,30,0,college/grad student,28,3,749399,muppet+treasure+island+1996
112,70,1,retired,18,5,238949,the+godfather+1972
113,30,0,scientist,28,3,856747,the+terminator+1984
114,30,0,academic/educator,16,5,421082,chicken+run+2000
115,40,1,academic/educator,35,4,73434,born+yesterday+1950
116,30,0,executive/managerial,878,4,951833,close+encounters+of+the+third+kind+1977
117,20,0,college/grad student,18,5,879204,richard+iii+1995
118,20,0,self-employed,878,5,115885,close+encounters+of+the+third+kind+1977
119,20,0,college/grad student,14,5,606071,the+nutty+professor+1996
120,30,0,college/grad student,16,1,903822,how+the+grinch+stole+christmas+1966
121,30,0,scientist,35,2,444086,dont+be+a+menace+to+south+central+while+drinking+your+juice+in+the+hood+1996
122,30,0,college/grad student,28,3,293666,eraser+1996
123,30,0,college/grad student,12,3,416693,jurassic+park+1993
124,30,0,sales/marketing,35,3,214185,metropolitan+1990
125,20,0,self-employed,12,2,571949,the+messenger+the+story+of+joan+of+arc+1999
126,30,0,college/grad student,12,3,376261,rob+roy+1995
127,30,0,scientist,35,4,493965,bean+1997
128,50,0,sales/marketing,18,3,562649,three+colors+blue+1993
129,20,0,scientist,37,5,894531,unforgiven+1992
130,20,0,other or not specified,53,5,964436,heathers+1988
131,20,0,scientist,35,3,484983,bringing+up+baby+1938
132,30,0,sales/marketing,35,2,289418,freddy+got+fingered+2001
133,20,1,executive/managerial,35,4,434918,the+trouble+with+harry+1955
134,30,0,homemaker,28,4,883388,men+in+black+1997
135,20,0,self-employed,18,3,455949,the+usual+suspects+1995
136,30,0,college/grad student,28,5,774476,die+hard+1988
137,20,0,college/grad student,10751,4,587635,the+lion+king+1994
138,30,0,college/grad student,35,3,439824,cats++dogs+2001
139,10,1,K-12 student,12,3,758823,the+wizard+of+oz+1939
140,50,0,academic/educator,99,4,163162,koyaanisqatsi+1982
141,20,1,executive/managerial,18,3,707736,the+perfect+storm+2000
142,30,0,other or not specified,10749,2,563358,never+been+kissed+1999
143,30,0,self-employed,878,5,979793,star+trek+generations+1994
144,30,0,self-employed,14,5,249957,donnie+darko+2001
145,30,0,K-12 student,12,4,919823,the+lost+world+jurassic+park+1997
146,30,1,academic/educator,12,3,372662,raiders+of+the+lost+ark+1981
147,30,0,sales/marketing,28,1,797735,broken+arrow+1996
148,20,0,college/grad student,14,4,649664,batman+1989
149,30,0,sales/marketing,878,2,889550,2001+a+space+odyssey+1968
150,30,0,sales/marketing,53,3,468875,basic+instinct+1992
151,20,0,college/grad student,80,5,352281,blue+velvet+1986
152,0,0,K-12 student,14,4,54845,spider-man+2002
153,10,0,scientist,35,1,124994,the+rocky+horror+picture+show+1975
154,30,1,scientist,35,4,59954,high+fidelity+2000
155,30,0,college/grad student,35,1,214273,mighty+aphrodite+1995
156,30,0,sales/marketing,28,3,133077,the+rock+1996
157,50,0,scientist,35,4,9889,the+american+president+1995
158,60,0,executive/managerial,18,5,600025,its+a+wonderful+life+1946
159,10,0,K-12 student,18,5,206618,a+beautiful+mind+2001
160,20,0,college/grad student,18,3,420201,the+patriot+2000
161,20,0,executive/managerial,18,3,194908,arlington+road+1999
162,30,0,executive/managerial,80,4,645341,the+silence+of+the+lambs+1991
163,20,0,executive/managerial,80,2,604113,the+long+kiss+goodnight+1996
164,30,1,executive/managerial,10751,4,818390,flight+of+the+navigator+1986
165,30,0,self-employed,35,5,979793,dave+1993
166,20,0,college/grad student,35,5,929661,clue+1985
167,20,0,college/grad student,18,5,970149,remember+the+titans+2000
168,30,0,scientist,12,5,906314,the+lord+of+the+rings+the+fellowship+of+the+ring+2001
169,20,0,sales/marketing,27,5,805099,the+lost+boys+1987
170,10,0,college/grad student,27,5,785417,the+fly+1986
171,30,0,academic/educator,14,4,827789,pleasantville+1998
172,20,0,college/grad student,35,4,791242,road+trip+2000
173,20,0,college/grad student,12,3,690026,mission+impossible+1996
174,20,1,college/grad student,80,4,377015,a+perfect+murder+1998
175,30,0,sales/marketing,878,5,189600,the+butterfly+effect+2004
176,70,1,retired,12,3,238949,james+and+the+giant+peach+1996
177,30,0,executive/managerial,18,4,981913,rain+man+1988
178,20,1,homemaker,12,4,161573,return+of+the+jedi+1983
179,20,0,other or not specified,28,5,769487,the+adventures+of+robin+hood+1938
180,30,0,college/grad student,35,2,858803,so+i+married+an+axe+murderer+1993
181,30,1,other or not specified,18,4,571241,black+swan+2010
182,20,0,scientist,12,5,672176,the+princess+bride+1987
183,20,0,executive/managerial,35,3,393131,harriet+the+spy+1996
184,30,0,college/grad student,35,4,968671,the+rocky+horror+picture+show+1975
185,30,0,executive/managerial,18,4,613226,philadelphia+1993
186,20,0,academic/educator,14,3,547710,the+pagemaster+1994
187,30,0,executive/managerial,18,3,491793,schindlers+list+1993
188,30,0,executive/managerial,27,3,939796,the+lawnmower+man+1992
189,30,0,sales/marketing,18,5,16304,remember+the+titans+2000
190,30,0,homemaker,35,5,870839,singin+in+the+rain+1952
191,30,0,self-employed,37,5,670277,the+man+who+shot+liberty+valance+1962
192,30,0,other or not specified,28,3,420994,the+matrix+1999
193,20,0,sales/marketing,28,5,555611,bad+taste+1987
194,30,0,scientist,28,2,763849,faceoff+1997
195,30,0,executive/managerial,878,4,983228,twelve+monkeys+1995
196,20,0,college/grad student,18,5,886793,american+history+x+1998
197,30,0,other or not specified,35,5,72056,the+royal+tenenbaums+2001
198,30,0,sales/marketing,14,5,444925,the+green+mile+1999
199,30,0,sales/marketing,12,4,780299,mission+impossible+1996
200,20,0,executive/managerial,18,5,68663,american+beauty+1999
201,30,1,college/grad student,18,4,404294,american+beauty+1999
202,30,0,other or not specified,12,4,563358,dick+tracy+1990
203,30,0,scientist,18,3,252660,the+remains+of+the+day+1993
204,20,0,clerical/admin,18,4,552395,we+are+marshall+2006
205,20,1,college/grad student,18,4,911120,titanic+1953
206,30,0,scientist,27,4,764551,saw+iii+2006
207,30,0,self-employed,28,2,394878,cop+land+1997
208,20,0,self-employed,12,4,259789,back+to+the+future+1985
209,20,0,sales/marketing,12,4,701465,dances+with+wolves+1990
210,30,0,lawyer,27,5,585763,poltergeist+1982
211,30,1,artist,12,4,99109,casino+royale+2006
212,20,0,college/grad student,878,4,591581,twelve+monkeys+1995
213,10,0,homemaker,28,4,930092,armageddon+1998
214,10,0,K-12 student,16,5,903733,despicable+me+2010
215,30,0,college/grad student,35,4,713482,dumb+and+dumber+1994
216,30,0,other or not specified,18,4,559747,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964
217,20,0,executive/managerial,18,3,145977,rain+man+1988
218,30,0,sales/marketing,12,3,449274,x-men+2000
219,30,0,college/grad student,10749,1,858803,grease+1978
220,20,0,college/grad student,12,3,661983,lara+croft+tomb+raider+2001
221,30,0,college/grad student,28,3,56869,the+matrix+1999
222,30,0,retired,18,1,246911,the+devils+advocate+1997
223,30,0,sales/marketing,28,3,349715,lethal+weapon+4+1998
224,30,0,academic/educator,28,3,146438,carlitos+way+1993
225,10,0,K-12 student,35,3,688395,coneheads+1993
226,20,0,college/grad student,18,5,903084,inglourious+basterds+2009
227,30,0,college/grad student,14,4,560232,army+of+darkness+1992
228,20,0,executive/managerial,28,3,726821,stargate+1994
229,20,0,other or not specified,80,5,300735,natural+born+killers+1994
230,20,0,technician/engineer,12,3,836101,princess+mononoke+1997
231,30,0,college/grad student,14,2,28765,casper+1995
232,20,0,scientist,12,4,721467,dr.+horribles+sing-along+blog+2008
233,20,0,college/grad student,12,3,836016,dick+tracy+1990
234,40,0,retired,18,5,663161,the+usual+suspects+1995
235,20,0,executive/managerial,28,5,610413,crimson+tide+1995
236,30,1,academic/educator,80,5,492008,boys+dont+cry+1999
237,30,0,college/grad student,28,4,817885,gladiator+2000
238,30,0,self-employed,18,3,827950,apollo+13+1995
239,50,0,programmer,28,4,812254,the+hidden+1987
240,30,0,other or not specified,35,3,27035,serial+mom+1994
241,20,0,other or not specified,35,4,769487,sliding+doors+1998
242,30,0,sales/marketing,14,5,523007,the+city+of+lost+children+1995
243,20,1,academic/educator,35,4,368871,annie+hall+1977
244,30,0,K-12 student,12,4,208565,rob+roy+1995
245,10,0,sales/marketing,18,1,172022,cruel+intentions+1999
246,20,0,scientist,10752,3,950129,glory+1989
247,20,0,sales/marketing,12,5,309644,the+fifth+element+1997
248,20,0,tradesman/craftsman,10751,3,380547,willy+wonka++the+chocolate+factory+1971
249,20,0,college/grad student,18,3,970149,selena+1997
250,20,0,college/grad student,80,4,527199,the+untouchables+1987
251,30,0,sales/marketing,12,5,234874,the+lord+of+the+rings+the+two+towers+2002
252,20,0,artist,18,4,882666,out+of+africa+1985
253,30,0,other or not specified,28,5,909065,gladiator+2000
254,20,0,sales/marketing,18,3,198737,nobodys+fool+1994
255,20,0,executive/managerial,10749,4,159858,don+juan+demarco+1994
256,30,0,other or not specified,18,3,930576,lone+star+1996
257,30,0,executive/managerial,18,5,883639,philadelphia+1993
258,10,0,sales/marketing,80,4,268293,requiem+for+a+dream+2000
259,30,0,sales/marketing,35,4,216280,cookies+fortune+1999
260,30,0,sales/marketing,37,4,772420,blazing+saddles+1974
261,70,1,retired,80,5,238949,stand+by+me+1986
262,20,0,college/grad student,12,4,104505,star+wars+episode+ii+-+attack+of+the+clones+2002
263,30,0,executive/managerial,18,5,683243,the+bridge+on+the+river+kwai+1957
264,20,0,academic/educator,18,4,818778,the+thomas+crown+affair+1999
265,20,0,executive/managerial,28,3,40203,tombstone+1993
266,30,0,retired,12,4,509420,tarzan+1999
267,30,0,executive/managerial,28,2,981913,the+poseidon+adventure+1972
268,20,0,academic/educator,18,5,420926,lone+star+1996
269,30,0,sales/marketing,28,4,770203,u-571+2000
270,30,0,college/grad student,12,3,147315,waterworld+1995
271,20,0,executive/managerial,18,4,206284,apollo+13+1995
272,30,0,college/grad student,35,3,178008,girl+6+1996
273,20,0,K-12 student,12,2,568393,jurassic+park+iii+2001
274,20,0,executive/managerial,18,3,690834,phenomenon+1996
275,20,0,executive/managerial,28,4,924569,speed+1994
276,30,1,college/grad student,35,3,573350,detroit+rock+city+1999
277,20,0,other or not specified,35,5,663132,three+amigos+1986
278,10,0,self-employed,878,4,210001,them+1954
279,20,0,college/grad student,878,3,371903,twelve+monkeys+1995
280,20,0,scientist,14,3,950129,dragonheart+1996
281,30,0,college/grad student,35,3,817072,home+alone+1990
282,20,0,college/grad student,35,5,606071,the+truth+about+cats++dogs+1996
283,30,0,technician/engineer,80,3,668474,demolition+man+1993
284,40,1,academic/educator,18,4,768752,sunset+boulevard+1950
285,30,0,sales/marketing,35,3,382952,the+truman+show+1998
286,20,0,executive/managerial,28,4,513530,the+matrix+1999
287,20,0,executive/managerial,12,1,159858,waterworld+1995
288,20,0,sales/marketing,18,4,204479,the+social+network+2010
289,20,1,homemaker,12,2,40262,star+wars+episode+ii+-+attack+of+the+clones+2002
290,30,0,executive/managerial,18,3,903711,dangerous+minds+1995
291,30,0,college/grad student,18,3,514021,the+year+my+voice+broke+1987
292,50,0,sales/marketing,18,4,487794,menace+ii+society+1993
293,20,0,executive/managerial,18,5,68663,fight+club+1999
294,30,0,sales/marketing,80,3,265043,mi+vida+loca+1994
295,10,0,homemaker,18,5,796750,21+grams+2003
296,20,0,college/grad student,12,3,17584,jurassic+park+1993
297,20,0,executive/managerial,28,5,514831,in+the+line+of+fire+1993
298,30,0,scientist,28,2,906870,maverick+1994
299,30,0,sales/marketing,28,3,689085,superman+1978
300,30,0,artist,18,4,300262,the+wages+of+fear+1953
301,20,1,college/grad student,18,5,271745,little+women+1994
302,20,0,executive/managerial,18,5,206284,the+shawshank+redemption+1994
303,30,0,sales/marketing,27,1,468875,final+destination+2000
304,30,0,executive/managerial,12,1,171201,war+of+the+worlds+2005
305,30,0,college/grad student,80,5,382590,the+silence+of+the+lambs+1991
306,20,0,college/grad student,35,1,513883,ringmaster+1998
307,20,0,college/grad student,35,4,773507,four+weddings+and+a+funeral+1994
308,20,0,college/grad student,28,5,352281,braveheart+1995
309,30,0,executive/managerial,18,4,649001,searching+for+bobby+fischer+1993
310,20,0,executive/managerial,9648,4,236635,the+sixth+sense+1999
311,20,1,executive/managerial,12,5,616789,back+to+the+future+1985
312,20,0,sales/marketing,878,3,309644,predator+1987
313,30,0,self-employed,18,2,920213,the+bone+collector+1999
314,20,0,technician/engineer,18,4,675984,apollo+13+1995
315,20,0,college/grad student,878,5,930728,star+trek+generations+1994
316,20,1,college/grad student,18,4,184909,yi+yi+2000
317,20,0,college/grad student,80,4,587635,strange+days+1995
318,20,0,scientist,10751,4,944442,the+rage+in+placid+lake+2003
319,20,0,college/grad student,53,4,649664,pulp+fiction+1994
320,30,0,sales/marketing,28,3,111560,the+golden+child+1986
321,20,0,K-12 student,12,4,198556,princess+mononoke+1997
322,30,0,scientist,16,4,763849,the+little+mermaid+1989
323,20,1,sales/marketing,14,4,742103,ghost+1990
324,10,0,scientist,28,3,15593,national+treasure+book+of+secrets+2007
325,30,0,other or not specified,53,4,248873,pulp+fiction+1994
326,20,0,executive/managerial,18,4,777924,apollo+13+1995
327,20,1,homemaker,878,1,857941,austin+powers+international+man+of+mystery+1997
328,20,0,executive/managerial,18,1,46275,losing+isaiah+1995
329,20,0,sales/marketing,10749,3,892499,shakespeare+in+love+1998
330,30,1,scientist,35,4,661661,clueless+1995
331,20,0,college/grad student,878,3,475063,judge+dredd+1995
332,30,0,sales/marketing,28,3,527475,ransom+1996
333,20,0,executive/managerial,35,4,851311,the+postman+1994
334,20,0,self-employed,35,5,354935,ed+wood+1994
335,30,0,scientist,80,3,613984,rumble+in+the+bronx+1995
336,30,0,sales/marketing,14,3,218973,my+neighbor+totoro+1988
337,20,0,sales/marketing,53,3,295203,the+thirteenth+floor+1999
338,20,0,scientist,10749,3,339001,beauty+and+the+beast+1991
339,30,0,executive/managerial,28,3,9369,tombstone+1993
340,20,1,homemaker,18,4,923487,8+mile+2002
341,30,0,scientist,878,3,820213,star+trek+first+contact+1996
342,30,0,self-employed,35,4,920213,galaxy+quest+1999
343,20,0,homemaker,80,4,923282,the+net+1995
344,20,0,sales/marketing,18,4,918660,the+departed+2006
345,20,0,college/grad student,18,3,10576,apollo+13+1995
346,20,0,college/grad student,35,3,600116,the+birdcage+1996
347,20,1,college/grad student,10749,5,103248,groundhog+day+1993
348,30,0,artist,18,4,300262,one+flew+over+the+cuckoos+nest+1975
349,30,0,college/grad student,28,4,968671,the+incredibles+2004
350,20,0,executive/managerial,35,1,999143,nine+months+1995
351,60,0,other or not specified,12,4,167577,the+fugitive+1993
352,30,0,college/grad student,10749,3,214273,all+dogs+go+to+heaven+2+1996
353,20,0,executive/managerial,12,5,513530,monty+python+and+the+holy+grail+1975
354,20,0,other or not specified,18,5,352373,the+sweet+hereafter+1997
355,30,0,other or not specified,14,4,634161,wolf+1994
356,30,0,college/grad student,18,5,907561,american+beauty+1999
357,20,0,self-employed,18,3,688698,an+unforgettable+summer+1994
358,30,0,self-employed,18,4,249957,casablanca+1942
359,40,1,homemaker,80,2,909040,ace+ventura+when+nature+calls+1995
360,30,0,sales/marketing,14,3,952695,the+santa+clause+1994
361,20,0,scientist,18,4,697778,inglourious+basterds+2009
362,20,0,college/grad student,16,3,475063,pinocchio+1940
363,20,0,college/grad student,18,2,282728,layer+cake+2004
364,20,1,academic/educator,80,3,416773,chinatown+1974
365,20,0,self-employed,18,4,126396,breaking+away+1979
366,20,0,other or not specified,35,3,407748,what+women+want+2000
367,30,0,college/grad student,28,5,382590,true+lies+1994
368,30,0,college/grad student,10751,3,195240,how+the+grinch+stole+christmas+2000
369,20,0,sales/marketing,16,4,535820,ice+age+2002
370,30,0,K-12 student,99,4,22171,mr.+death+the+rise+and+fall+of+fred+a.+leuchter_+jr.+1999
371,30,1,sales/marketing,35,3,394657,m*a*s*h+1970
372,30,0,artist,28,3,621966,sanctum+2011
373,30,0,scientist,18,4,506268,the+ides+of+march+2011
374,30,0,technician/engineer,80,4,656351,the+net+1995
375,20,0,college/grad student,18,3,600116,the+juror+1996
376,20,0,college/grad student,16,4,287431,toy+story+1995
377,20,1,artist,35,4,498687,great+expectations+1998
